id,pole_id,load1_time1_set,load1_time2_set,load1_outmode,load2_time1_set,load2_time2_set,load2_outmode,scale_mode,param_setup_volta,work_v_setup,menu_password_1,menu_password_2,menu_password_3,max_bat_limit,over_v_comeback,low_v_comeback,low_v_limit,mppt_close_v,mppt_start_v,longitude,latitude,createdAt,updatedAt
2010,6,8.123506398,NIGHT,4.440812611,1.200021229,NIGHT,pv_v,0,11,12,0,0,0,12,14.44812552,8.107118568,7.082669401,6,10,-81.02260327,34.10219048,2020-11-11 00:20:10,2020-11-11 00:20:10
2011,2,2.580808584,DAY,3.842404634,0.433756609,DAY,pv_v,0,11,11,0,0,0,10,9.908201502,0.576252028,4.064402852,4,11,-81.18260327,33.94219048,2020-11-11 00:20:11,2020-11-11 00:20:11
2012,0,6.164876059,NIGHT,8.952599392,4.353333119,NIGHT,pv_v,0,12,10,0,0,0,10,5.570388038,4.864531796,6.460847866,9,4,-81.26260327,33.86219048,2020-11-11 00:20:12,2020-11-11 00:20:12
2013,7,1.960422948,DAY,1.708223142,0.643401259,DAY,pv_v,0,12,10,0,0,0,10,6.943347134,9.163274661,1.627366164,11,7,-80.98260327,34.14219048,2020-11-11 00:20:13,2020-11-11 00:20:13
2014,1,3.720272315,NIGHT,0.324150314,1.10183833,NIGHT,pv_v,0,12,11,0,0,0,11,8.497597063,0.614117341,5.402751214,3,11,-81.22260327,33.90219048,2020-11-11 00:20:14,2020-11-11 00:20:14
2015,2,8.955806474,DAY,7.602938851,7.406992993,DAY,pv_v,0,11,12,0,0,0,11,6.830444183,0.14306936,5.395465313,7,11,-81.18260327,33.94219048,2020-11-11 00:20:15,2020-11-11 00:20:15
2016,7,1.520002904,NIGHT,3.25652449,4.315084751,NIGHT,pv_v,0,11,10,0,0,0,12,11.29665235,7.315820595,1.636892465,9,11,-80.98260327,34.14219048,2020-11-11 00:20:16,2020-11-11 00:20:16
2017,10,1.631572531,DAY,2.26913299,7.394938949,DAY,pv_v,0,12,12,0,0,0,12,12.89108788,9.407807963,0.931541318,10,2,-80.86260327,34.26219048,2020-11-11 00:20:17,2020-11-11 00:20:17
2018,9,3.151611086,NIGHT,7.870012146,1.463668325,NIGHT,pv_v,0,12,12,0,0,0,11,11.66213034,7.760134881,9.652735707,8,3,-80.90260327,34.22219048,2020-11-11 00:20:18,2020-11-11 00:20:18
2019,3,9.662246908,DAY,5.508959727,6.126570397,DAY,pv_v,0,10,11,0,0,0,12,7.394111709,6.53355827,8.717463072,11,6,-81.14260327,33.98219048,2020-11-11 00:20:19,2020-11-11 00:20:19
2020,1,3.717402964,NIGHT,5.158437725,9.83679674,NIGHT,pv_v,0,10,12,0,0,0,11,11.13621264,6.494824058,9.995063441,2,8,-81.22260327,33.90219048,2020-11-11 00:20:20,2020-11-11 00:20:20
2021,8,8.559349105,DAY,2.147982678,0.680595087,DAY,pv_v,0,10,11,0,0,0,10,7.275355809,1.740475012,7.712191677,7,4,-80.94260327,34.18219048,2020-11-11 00:20:21,2020-11-11 00:20:21
2022,2,4.632619907,NIGHT,1.384002226,8.636688208,NIGHT,pv_v,0,10,11,0,0,0,12,6.363507901,5.902420967,4.643412743,10,7,-81.18260327,33.94219048,2020-11-11 00:20:22,2020-11-11 00:20:22
2023,2,6.634797966,DAY,8.534883583,8.715873966,DAY,pv_v,0,11,11,0,0,0,11,13.94118039,2.88615294,3.282196919,6,7,-81.18260327,33.94219048,2020-11-11 00:20:23,2020-11-11 00:20:23
2024,6,1.47955539,NIGHT,5.844806856,9.203821315,NIGHT,pv_v,0,11,12,0,0,0,12,12.34410462,9.859266871,3.090677352,2,10,-81.02260327,34.10219048,2020-11-11 00:20:24,2020-11-11 00:20:24
2025,5,5.56038158,DAY,7.823385034,4.315463842,DAY,pv_v,0,12,11,0,0,0,10,12.98228621,9.383818287,7.313504391,5,3,-81.06260327,34.06219048,2020-11-11 00:20:25,2020-11-11 00:20:25
2026,5,8.44568243,NIGHT,1.366948559,9.045533735,NIGHT,pv_v,0,10,10,0,0,0,11,10.3582827,2.028945245,0.437271146,5,8,-81.06260327,34.06219048,2020-11-11 00:20:26,2020-11-11 00:20:26
2027,3,2.274267772,DAY,8.114900755,8.301481673,DAY,pv_v,0,10,12,0,0,0,12,11.30592808,2.891056172,6.952805938,4,7,-81.14260327,33.98219048,2020-11-11 00:20:27,2020-11-11 00:20:27
2028,4,0.662114416,NIGHT,7.694391094,7.191854377,NIGHT,pv_v,0,12,10,0,0,0,12,12.11927413,0.043891972,6.865862231,9,10,-81.10260327,34.02219048,2020-11-11 00:20:28,2020-11-11 00:20:28
2029,5,6.593449786,DAY,8.032381246,8.842324859,DAY,pv_v,0,11,12,0,0,0,11,11.07355072,2.108392921,0.095029276,4,4,-81.06260327,34.06219048,2020-11-11 00:20:29,2020-11-11 00:20:29
2030,9,4.220708088,NIGHT,4.956085857,9.054836445,NIGHT,pv_v,0,10,11,0,0,0,12,12.59451992,2.907774777,7.621665406,10,11,-80.90260327,34.22219048,2020-11-11 00:20:30,2020-11-11 00:20:30
2031,8,4.209248907,DAY,4.389156409,7.967890198,DAY,pv_v,0,12,11,0,0,0,10,8.52679157,6.251575544,3.358456371,9,7,-80.94260327,34.18219048,2020-11-11 00:20:31,2020-11-11 00:20:31
2032,2,7.97350376,NIGHT,3.254390738,3.251134662,NIGHT,pv_v,0,10,10,0,0,0,11,5.976795701,4.3694367,7.060084003,8,6,-81.18260327,33.94219048,2020-11-11 00:20:32,2020-11-11 00:20:32
2033,6,9.894870789,DAY,3.672041542,8.825390439,DAY,pv_v,0,12,12,0,0,0,12,6.106633799,6.05931336,5.116084057,5,8,-81.02260327,34.10219048,2020-11-11 00:20:33,2020-11-11 00:20:33
2034,3,6.81586096,NIGHT,0.44938464,5.909389819,NIGHT,pv_v,0,12,12,0,0,0,12,12.55188971,8.481963662,6.132473417,7,9,-81.14260327,33.98219048,2020-11-11 00:20:34,2020-11-11 00:20:34
2035,3,1.82593384,DAY,0.292322273,8.407174453,DAY,pv_v,0,11,12,0,0,0,10,7.192007583,7.830739195,3.090164217,6,6,-81.14260327,33.98219048,2020-11-11 00:20:35,2020-11-11 00:20:35
2036,7,7.021725654,NIGHT,0.227273149,7.370692427,NIGHT,pv_v,0,12,10,0,0,0,10,5.372278383,1.437591064,0.633104489,9,3,-80.98260327,34.14219048,2020-11-11 00:20:36,2020-11-11 00:20:36
2037,10,3.189150425,DAY,6.891470432,9.300615969,DAY,pv_v,0,10,12,0,0,0,12,14.21719634,7.68464149,0.677335523,11,3,-80.86260327,34.26219048,2020-11-11 00:20:37,2020-11-11 00:20:37
2038,8,6.013086463,NIGHT,7.939739497,3.294928632,NIGHT,pv_v,0,12,12,0,0,0,10,9.066850345,1.930874615,2.253328785,2,3,-80.94260327,34.18219048,2020-11-11 00:20:38,2020-11-11 00:20:38
2039,7,6.010408456,DAY,1.612376053,2.799833258,DAY,pv_v,0,11,11,0,0,0,12,12.05358343,6.319216422,5.931404847,11,11,-80.98260327,34.14219048,2020-11-11 00:20:39,2020-11-11 00:20:39
2040,5,0.091675336,NIGHT,2.048731835,4.470290778,NIGHT,pv_v,0,10,10,0,0,0,12,6.19818487,2.554498285,5.428692856,2,2,-81.06260327,34.06219048,2020-11-11 00:20:40,2020-11-11 00:20:40
